======== Agent 101 Checkpoint 10000 ========
Loading logs/a2c/Acrobot-v1_101/rl_model_9984_steps.zip
Loading running average
with params: {'norm_obs': True, 'norm_reward': False}
n steps 5
n envs 16
Episode Reward: -115.00
Episode Length 116
Episode Reward: -96.00
Episode Length 97
Episode Reward: -85.00
Episode Length 86
Episode Reward: -94.00
Episode Length 95
Episode Reward: -109.00
Episode Length 110
Episode Reward: -96.00
Episode Length 97
Episode Reward: -94.00
Episode Length 95
Episode Reward: -105.00
Episode Length 106
Episode Reward: -93.00
Episode Length 94
Episode Reward: -116.00
Episode Length 117
Episode Reward: -98.00
Episode Length 99
Episode Reward: -114.00
Episode Length 115
Episode Reward: -94.00
Episode Length 95
Episode Reward: -103.00
Episode Length 104
Episode Reward: -94.00
Episode Length 95
Episode Reward: -110.00
Episode Length 111
Episode Reward: -95.00
Episode Length 96
Episode Reward: -97.00
Episode Length 98
Episode Reward: -97.00
Episode Length 98
Episode Reward: -117.00
Episode Length 118
Episode Reward: -105.00
Episode Length 106
Episode Reward: -94.00
Episode Length 95
Episode Reward: -110.00
Episode Length 111
Episode Reward: -99.00
Episode Length 100
Episode Reward: -81.00
Episode Length 82
Episode Reward: -107.00
Episode Length 108
Episode Reward: -99.00
Episode Length 100
Episode Reward: -92.00
Episode Length 93
Episode Reward: -94.00
Episode Length 95
Episode Reward: -130.00
Episode Length 131
Episode Reward: -146.00
Episode Length 147
Episode Reward: -104.00
Episode Length 105
Episode Reward: -97.00
Episode Length 98
Episode Reward: -96.00
Episode Length 97
Episode Reward: -127.00
Episode Length 128
Episode Reward: -105.00
Episode Length 106
Episode Reward: -98.00
Episode Length 99
Episode Reward: -99.00
Episode Length 100
Episode Reward: -112.00
Episode Length 113
Episode Reward: -92.00
Episode Length 93
Episode Reward: -112.00
Episode Length 113
Episode Reward: -93.00
Episode Length 94
Episode Reward: -104.00
Episode Length 105
Episode Reward: -177.00
Episode Length 178
Episode Reward: -97.00
Episode Length 98
Episode Reward: -108.00
Episode Length 109
Episode Reward: -99.00
Episode Length 100
Episode Reward: -85.00
Episode Length 86
Episode Reward: -93.00
