#{"t_start": 1665136209.6652372, "env_id": "Acrobot-v1"}
r,l,t
-493.0,494,3.482875
-331.0,332,4.535312
-176.0,177,5.067703
-141.0,142,5.492271
-100.0,101,5.80949
-158.0,159,6.292086
-114.0,115,6.642077
-90.0,91,9.033909
-97.0,98,9.326971
-114.0,115,9.668845
-130.0,131,10.061707
-96.0,97,10.358889
-90.0,91,10.630357
-108.0,109,10.973908
-105.0,106,11.334663
-68.0,69,11.550838
-75.0,76,11.780141
-109.0,110,12.115788
-109.0,110,12.458831
-83.0,84,12.720294
-94.0,95,13.017224
-83.0,84,13.272129
-114.0,115,13.614173
-82.0,83,15.50595
-102.0,103,15.816502
-84.0,85,16.103301
-77.0,78,16.396966
-79.0,80,16.654026
-84.0,85,16.928153
-86.0,87,17.218683
-94.0,95,17.532832
-83.0,84,17.812168
-73.0,74,18.049431
-70.0,71,18.280255
-84.0,85,18.55981
-95.0,96,18.844468
-101.0,102,19.149108
-94.0,95,19.434092
-88.0,89,19.697213
-97.0,98,19.991406
-155.0,156,21.462225
-101.0,102,21.772299
-98.0,99,22.072743
-76.0,77,22.306277
-91.0,92,22.590889
-95.0,96,22.881229
-78.0,79,23.120027
-111.0,112,23.45807
-74.0,75,23.685973
-71.0,72,23.905247
-81.0,82,24.14973
-73.0,74,24.371986
-110.0,111,24.705316
-83.0,84,24.95924
-73.0,74,25.181483
-64.0,65,25.378148
-78.0,79,25.61464
-86.0,87,25.880451
-61.0,62,27.101042
-79.0,80,27.346244
-86.0,87,27.616939
-76.0,77,27.865334
-88.0,89,28.195224
-78.0,79,28.470196
-93.0,94,28.784653
-79.0,80,29.047894
-87.0,88,29.332521
-95.0,96,29.644902
-82.0,83,29.903361
-79.0,80,30.163619
-98.0,99,30.465919
-70.0,71,30.679954
-72.0,73,30.899116
-73.0,74,31.124302
-79.0,80,31.373691
-96.0,97,31.683252
-63.0,64,31.875612
-78.0,79,33.931039
-77.0,78,34.172207
-78.0,79,34.414772
-79.0,80,34.660534
-70.0,71,34.875939
-63.0,64,35.077733
-101.0,102,35.423095
-90.0,91,35.714114
-81.0,82,35.981022
-146.0,147,36.486302
-71.0,72,36.730225
-74.0,75,36.992654
-77.0,78,37.231542
-69.0,70,37.430383
-92.0,93,37.704925
-74.0,75,37.917577
-68.0,69,38.118715
-98.0,99,38.429581
-110.0,111,41.095432
-75.0,76,41.313458
-63.0,64,41.50041
-81.0,82,41.750253
-86.0,87,42.011782
-79.0,80,42.283598
-73.0,74,42.526537
-78.0,79,42.780188
-88.0,89,43.08198
-99.0,100,43.385914
-78.0,79,43.619002
-84.0,85,43.885398
-82.0,83,44.132461
-80.0,81,44.367523
-76.0,77,44.593149
-79.0,80,44.824663
-71.0,72,45.031704
-80.0,81,45.263432
-99.0,100,45.558796
-77.0,78,45.797953
-90.0,91,47.898319
-76.0,77,48.130728
-72.0,73,48.353523
-76.0,77,48.587841
-89.0,90,48.86033
-79.0,80,49.103213
-70.0,71,49.324095
-71.0,72,49.542401
-71.0,72,49.762509
-125.0,126,50.146376
-91.0,92,50.423777
-60.0,61,50.607025
-69.0,70,50.819196
-99.0,100,51.122727
-72.0,73,51.346816
-139.0,140,51.780231
-78.0,79,52.027634
-71.0,72,52.245926
-143.0,144,54.793751
-73.0,74,55.019584
-86.0,87,55.281498
-70.0,71,55.496552
-70.0,71,55.710838
-108.0,109,56.041584
-85.0,86,56.300456
-68.0,69,56.510514
-93.0,94,56.801186
-81.0,82,57.05272
-74.0,75,57.28283
-83.0,84,57.542531
-73.0,74,57.774084
-71.0,72,57.991222
-74.0,75,58.221618
-141.0,142,58.654175
-82.0,83,58.903605
-145.0,146,60.754431
-103.0,104,61.046864
-69.0,70,61.245751
-77.0,78,61.468455
-72.0,73,61.677743
-89.0,90,61.939143
-77.0,78,62.164827
-70.0,71,62.380457
-86.0,87,62.649248
-71.0,72,62.864182
-77.0,78,63.10228
-70.0,71,63.313875
-85.0,86,63.577051
-60.0,61,63.763236
-78.0,79,64.004995
-76.0,77,64.244045
-62.0,63,64.43221
-70.0,71,64.644297
-80.0,81,64.892986
-97.0,98,65.190305
-84.0,85,67.104724
-72.0,73,67.330203
-69.0,70,67.543542
-80.0,81,67.791481
-68.0,69,67.999243
-81.0,82,68.248301
-93.0,94,68.537042
-76.0,77,68.769518
-89.0,90,69.040761
-91.0,92,69.323928
-94.0,95,69.614745
-91.0,92,69.891421
-69.0,70,70.101503
-93.0,94,70.388246
-191.0,192,70.972393
-90.0,91,71.252702
-74.0,75,71.480841
-86.0,87,71.743423
-69.0,70,73.854622
-94.0,95,74.143569
-78.0,79,74.38904
-77.0,78,74.624734
-71.0,72,74.850652
-69.0,70,75.06324
-67.0,68,75.265306
-158.0,159,75.750146
-70.0,71,75.962511
-78.0,79,76.203895
-86.0,87,76.469161
-77.0,78,76.70336
-80.0,81,76.950345
-79.0,80,77.19122
-82.0,83,77.446417
-103.0,104,77.763086
-78.0,79,78.008001
-87.0,88,78.273717
-82.0,83,80.681643
-76.0,77,80.913731
-81.0,82,81.164082
-88.0,89,81.431865
