#{"t_start": 1665248954.6401274, "env_id": "BipedalWalker-v3"}
r,l,t
-107.883794,451,5.463892
-113.276782,105,6.104385
-104.983572,75,6.543413
-104.65334,87,7.074694
-128.416121,131,7.863647
-124.884482,127,8.618546
-104.494605,113,9.29209
-144.319789,295,11.057304
-99.209501,107,11.703859
-109.67192,66,12.114876
-134.43457,225,19.29044
-109.684402,136,20.161965
-109.872906,74,20.640678
-107.902076,92,21.223801
-162.460037,403,23.677518
-103.855651,97,24.263575
-105.797065,89,24.807365
-107.50978,103,25.426887
-104.475318,111,26.090308
-102.589838,94,26.668088
-105.58376,98,27.268735
-104.636796,103,41.938989
-105.987767,131,42.816361
-131.790853,179,43.969236
-116.972558,270,45.644131
-134.23714,179,46.738017
-102.071287,72,47.173512
-108.011474,175,48.248758
-169.28572,714,54.058354
-106.886355,56,54.412154
-109.824035,50,54.729978
-110.168235,42,54.985688
-207.295888,1359,105.295906
-112.991286,214,106.724887
-116.71797,1600,118.198495
-110.179921,53,118.523813
-69.11936,1600,129.774089
-103.528311,181,130.896536
-57.471951,1600,183.013277
-53.669797,1600,235.707176
-107.139559,222,237.075274
-36.357543,1600,289.777818
-37.896961,1600,342.365469
-32.047038,1600,394.887923
-33.518963,1600,447.621417
-40.265683,1600,500.355426
-26.417667,1600,553.994222
-28.302914,1600,606.918417
-32.387293,1600,659.982092
-26.632729,1600,712.873434
-25.890391,1600,765.970329
-27.910996,1600,819.518602
