#{"t_start": 1665210463.2756371, "env_id": "LunarLander-v2"}
r,l,t
3.233265,124,3.058369
37.674043,204,4.636061
-177.439418,188,6.767232
-184.270311,157,8.025057
-88.63679,194,9.920688
-70.173739,117,11.168367
-225.680892,217,14.1942
-213.026454,326,20.374881
-175.783543,176,23.932599
98.131701,1000,47.310683
-174.309665,155,49.392794
-15.552804,234,52.609847
-214.279881,264,372.733625
-68.98979,215,375.739023
-122.429329,143,377.711214
-29.184393,289,382.133721
-220.314083,212,385.601895
-187.830295,222,389.228488
-33.748805,356,396.692394
-170.085496,178,399.929227
129.84333,1000,420.000811
-109.948921,302,859.746708
-53.030838,446,870.209144
-187.589462,257,875.211675
-168.252395,199,878.629849
15.872654,104,880.506542
79.69553,195,884.337205
-27.066627,326,892.296336
293.883371,511,903.110465
-59.651502,332,908.180187
-91.713829,428,915.50463
-137.209898,133,917.145736
14.654706,168,919.305261
-227.573678,311,1303.34701
-156.250598,149,1305.057243
117.693493,1000,1322.501588
-70.835579,155,1324.432626
63.066955,1000,1343.57508
238.291906,453,1350.599468
-175.774667,256,1679.220878
31.360933,215,1683.135722
-148.440278,139,1684.64569
-17.433918,223,1687.593311
-177.339924,203,1690.33519
201.710511,693,1700.231861
-162.407577,184,1702.917395
-211.14745,194,1705.237705
8.109217,189,1707.674727
-26.742105,170,1709.736806
271.6972,290,1714.092559
-32.913073,106,1715.505082
-151.968765,142,1717.523121
87.804624,184,2035.701499
-23.865109,204,2038.461672
311.610855,207,2041.242669
-206.089312,199,2044.314165
-180.957207,290,2049.089097
49.979418,172,2051.98049
16.135484,158,2055.022868
-22.003741,308,2059.096004
180.07879,989,2074.67909
80.528019,141,2076.37544
225.599052,347,2081.21126
-17.73267,206,2388.674225
-8.462188,313,2392.880557
30.955883,215,2395.968023
223.262856,440,2402.676722
233.92775,409,2408.311974
-175.338277,150,2410.332472
3.834734,161,2411.913657
-155.842399,168,2414.181391
-17.202517,103,2415.658655
17.206405,172,2417.876394
-171.766434,167,2419.709774
250.560824,307,2423.942898
11.678807,203,2427.488724
-40.328197,174,2430.381118
-198.278292,199,2758.184848
-16.547474,221,2761.25701
-32.615358,159,2763.408791
-229.815975,493,2770.243055
254.132677,324,2774.492719
7.402796,222,2777.50964
-19.478391,211,2780.177229
202.275958,282,2783.929947
26.624041,172,2786.009322
17.953154,154,2787.669303
-21.966889,163,2789.599069
-153.061474,196,2792.270199
-137.474975,183,2794.708529
