#{"t_start": 1665853840.7129009, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-365.681176,75,2.351063
-104.900652,30,2.487144
-232.174013,75,2.911777
-322.092334,32,3.105256
-312.405512,108,3.678993
-169.794841,45,3.863899
-299.97315,82,4.188232
-342.19514,83,4.48841
-365.610436,80,4.797909
-155.587867,299,6.932617
-538.804805,140,7.987006
-536.795011,153,8.877474
-412.875228,130,9.504908
-92.669591,62,9.764515
-56.415175,84,10.116038
-142.21843,39,10.303777
-573.765508,127,10.963259
-89.136834,150,11.598763
-161.673939,99,12.058434
-277.790778,158,12.881846
-269.883413,95,13.385674
-426.292149,91,13.814104
-192.173115,75,14.152333
-209.12317,80,14.492188
-149.675474,124,15.177775
-477.439476,177,16.226981
-180.169203,112,16.843704
-175.633146,131,17.537972
-140.433903,63,17.812999
-118.104114,63,18.226571
-132.665357,104,19.061608
-196.605144,86,19.671056
-242.997343,93,20.383271
-135.777088,47,20.589099
-218.306006,88,21.047143
-192.845756,93,21.541919
-815.662143,245,23.833714
-220.1177,65,24.403066
-225.510229,93,24.904291
-168.196567,38,25.097401
-163.498756,65,25.582894
-100.01679,35,25.87534
-179.680282,112,26.591197
-124.802799,58,26.938974
-106.192666,36,27.214866
-156.023507,101,27.773808
-100.513619,46,27.998644
-262.880022,262,30.347976
-142.766289,147,32.188338
-546.712445,464,38.133385
-91.642054,327,46.001469
-142.461388,1000,703.59177
-141.464459,293,706.630136
-77.629718,139,707.603769
-96.477825,1000,729.356358
-37.445592,1000,760.248727
-10.339028,1000,787.787446
39.915008,1000,816.291851
172.446142,937,843.334229
218.448407,462,851.823723
23.881732,321,1364.16446
222.090088,601,1373.724469
210.824488,780,1393.119007
-25.871336,1000,1420.682755
53.872622,1000,1448.065742
25.211176,1000,1474.542137
-19.401212,1000,1504.587668
121.39602,978,2171.868706
-4.83383,1000,2198.825272
-0.343831,1000,2225.207564
95.159692,1000,2251.370361
-16.554963,1000,2277.41944
-48.803124,1000,2304.756999
-95.915756,63,2306.670558
-38.659826,1000,2951.083399
15.074125,1000,2977.777407
1.033054,1000,2999.338485
-103.288807,190,3003.711545
-70.449007,345,3008.475064
-97.164251,172,3010.032682
-96.467246,42,3010.451374
-110.503137,38,3010.887156
-92.236292,217,3013.319057
-73.788915,1000,3037.149705
14.296214,1000,3063.886974
9.536298,1000,3090.308625
105.821779,832,3718.295378
214.345805,711,3737.489353
151.016608,555,3749.134909
-96.220078,52,3750.183773
-126.28389,301,3755.302478
126.293863,880,3771.079644
-44.840089,1000,3790.050414
189.25485,438,3801.032043
-3.803921,1000,3827.033559
-84.865764,59,3828.779566
126.616244,677,4174.332005
-114.289119,55,4175.23272
-45.677934,486,4184.840455
-19.00512,1000,4209.334176
-79.890448,72,4210.636905
-149.273908,188,4214.944686
-128.488121,99,4216.362489
-147.86523,527,4224.004988
-105.282387,58,4225.188265
-117.347897,33,4225.758651
-202.497933,908,4246.834093
-126.053077,75,4248.101171
135.348881,893,4264.978798
-98.149037,300,4268.153561
-115.309856,334,4272.409949
168.644345,621,4283.532653
-64.83066,298,4287.163329
-98.04532,116,4563.960119
112.055184,657,4573.31138
-144.920411,344,4576.644784
191.868826,766,4587.255619
-136.843073,510,4594.839592
-44.437151,1000,4617.978927
-142.26988,677,4630.555413
-97.97788,70,4632.262037
-107.201483,590,4641.462144
-56.533865,1000,4661.938391
-50.583415,1000,5133.282342
-28.773225,1000,5153.500059
-139.736816,513,5161.625597
-149.471449,287,5164.739067
-72.494655,1000,5188.337823
-102.798754,118,5189.722708
-98.366437,131,5190.937195
-98.654584,46,5191.449616
-27.403079,1000,5212.168862
-90.058303,1000,5234.309102
-109.877864,40,5234.657482
-101.227392,1000,5726.313875
-106.470805,61,5726.908686
-50.073817,1000,5747.761317
-120.753365,242,5751.170507
-205.585336,888,5768.094652
-104.49094,54,5768.691422
28.068324,1000,5787.056812
-111.045887,36,5787.298654
-114.138791,55,5787.631338
-88.58548,35,5787.847613
-105.759657,40,5788.118458
-135.365303,107,5788.929489
-105.214921,35,5789.055487
-100.254529,34,5789.194739
-120.957128,112,5789.850717
-118.440307,93,5790.585884
-106.964883,258,5794.125754
-118.712732,291,5797.550049
-93.080847,44,5798.066791
-200.589938,763,5812.197213
-100.298448,336,5818.020087
-102.777791,133,5820.200014
-96.304334,66,5821.453798
-127.365475,1000,6264.642536
-86.713093,178,6268.011556
-50.462121,1000,6290.959648
-142.354155,295,6296.443429
-228.245664,893,6312.234962
-98.650474,114,6313.512008
-131.055999,345,6317.029494
-153.408401,392,6322.655184
-156.82816,242,6325.25105
-140.347429,154,6326.682881
-101.632584,70,6327.345338
-118.542474,73,6327.989524
-114.125756,124,6328.991702
-123.47183,116,6330.242304
-110.637021,42,6330.654852
-106.813272,263,6332.691241
-107.348356,161,6334.67082
-97.975211,80,6335.796684
-107.07234,114,6336.803593
-110.537399,331,6342.117183
-102.088608,33,6342.782632
-112.119934,610,6639.69648
-107.536159,164,6640.812639
-109.92027,34,6641.018562
-117.643367,202,6642.759159
-99.955789,127,6644.39859
-155.484861,372,6650.93206
-82.497353,251,6653.091031
-121.487084,56,6653.717151
-113.537435,42,6654.168053
-145.586519,298,6657.502909
-117.1969,79,6658.378977
-192.066926,785,6672.374359
-105.13005,196,6675.007968
-103.095204,43,6675.724614
-106.299078,54,6676.746464
