#{"t_start": 1665118317.613546, "env_id": "Pendulum-v1"}
r,l,t
-1215.498806,200,2.256647
-1193.363119,200,2.684795
-1456.487256,200,3.121329
-1070.744568,200,3.542679
-1362.434346,200,3.940794
-983.799188,200,4.310374
-1558.381325,200,4.69483
-1244.760751,200,5.0663
-847.565302,200,5.446353
-1321.601482,200,5.820647
-1096.870146,200,6.191136
-963.375827,200,6.56185
-1368.57841,200,6.933927
-1223.280792,200,7.303174
-1231.45059,200,7.673809
-1107.863253,200,8.980443
-1136.70426,200,9.34206
-962.51364,200,9.798435
-759.036228,200,10.256687
-956.051346,200,10.697875
-813.044519,200,11.120861
-1334.197721,200,11.504022
-538.305594,200,11.880545
-1491.407014,200,12.266302
-976.154387,200,12.652216
-1497.955842,200,13.041154
-1532.350938,200,13.431576
-1186.303218,200,13.825484
-796.897469,200,14.210604
-1239.34391,200,14.59836
-1515.07253,200,14.97632
-1396.100364,200,16.261446
-791.852104,200,16.671894
-1055.482234,200,17.119076
-754.916062,200,17.597234
-844.707081,200,18.065647
-1007.43076,200,18.513349
-1186.545434,200,18.87015
-907.439175,200,19.229861
-1064.920212,200,19.603477
-1081.07313,200,19.994295
-1075.442259,200,20.380918
-852.159705,200,20.763101
-1298.606243,200,21.148144
-984.210211,200,21.505503
-1096.781896,200,21.888276
-1017.418749,200,23.173875
-1292.569077,200,23.563426
-663.701028,200,24.001147
-992.614563,200,24.443196
-910.134534,200,24.869002
-1555.995129,200,25.309343
-529.510448,200,25.692826
-1196.922495,200,26.079868
-741.636717,200,26.459596
-1177.606651,200,26.839226
-1154.903541,200,27.2212
-1307.417879,200,27.617666
-1272.857806,200,28.007618
-767.521389,200,28.414229
-1449.044685,200,28.838391
-1201.412252,200,29.204093
-1415.243893,200,30.440018
-1073.169607,200,30.818831
-526.517756,200,31.198551
-1370.855751,200,31.576858
-1492.178449,200,31.951031
-1356.800034,200,32.330857
-948.114024,200,32.709744
-1235.610746,200,33.095651
-544.331255,200,33.491031
-799.938785,200,33.893723
-969.217884,200,34.296709
-1103.07142,200,34.677247
-907.309083,200,35.025517
-903.363909,200,35.377528
-944.292873,200,35.738533
-798.92371,200,36.091215
-958.385921,200,37.339577
-1280.926085,200,37.706296
-669.89355,200,38.065623
-1496.635563,200,38.435819
-670.540974,200,38.828522
-672.171329,200,39.222581
-1325.928554,200,39.61608
-814.10758,200,40.012913
-675.756405,200,40.400451
-670.730088,200,40.769761
-816.339901,200,41.15103
-1221.611186,200,41.530549
-1465.006887,200,41.924711
-1209.02981,200,42.292978
-1014.543019,200,42.694344
-803.817031,200,44.01665
-552.091274,200,44.421363
-1082.277285,200,44.849366
-1006.805811,200,45.327126
-1194.627814,200,45.772764
-575.452828,200,46.189521
-792.943725,200,46.553011
-712.120031,200,46.899945
-675.384347,200,47.242647
-1347.127696,200,47.593443
-545.52957,200,47.954295
-815.965603,200,48.306135
-585.030633,200,48.686077
-879.516299,200,49.058196
-1146.569345,200,49.414062
-406.678598,200,49.796037
-961.350037,200,51.098689
-1343.234142,200,51.478081
-1177.312342,200,51.868061
-673.063888,200,52.253223
-1137.527906,200,52.63407
-1090.869631,200,53.005656
-1524.425954,200,53.378465
-540.800248,200,53.758203
-1298.643586,200,54.130067
-800.99786,200,54.505821
-879.274662,200,54.875455
-835.201926,200,55.251168
-1260.715349,200,55.627728
-1491.544603,200,56.002215
-1098.798217,200,56.386475
-276.660409,200,56.797292
-874.140819,200,58.074549
-1196.895608,200,58.486592
-1332.461009,200,58.939137
-859.755178,200,59.353501
-335.570914,200,59.778603
-821.279904,200,60.165771
-834.928756,200,60.560838
-274.473109,200,60.946959
-969.687215,200,61.346747
-269.526225,200,61.741805
-1466.2011,200,62.122392
-819.339525,200,62.506648
-1500.406649,200,62.891949
-627.78637,200,63.280501
-138.479494,200,63.6679
-273.484979,200,64.950379
-4.716364,200,65.322143
-411.464128,200,65.722113
-1092.849053,200,66.164808
-3.777769,200,66.567041
-589.462519,200,66.974176
-69.342657,200,67.343921
-3.679339,200,67.714921
-1314.613435,200,68.086905
-276.54011,200,68.45706
-405.738668,200,68.831909
-412.041303,200,69.196332
-1491.370216,200,69.566785
-1086.565116,200,69.935082
-399.745436,200,70.302528
-1268.875387,200,70.66736
-542.319137,200,72.004848
-138.985892,200,72.411354
-592.276484,200,72.841036
-138.746297,200,73.239677
-1.729248,200,73.651998
-1183.735359,200,74.027618
-781.665996,200,74.412498
-137.311236,200,74.796581
-1415.968772,200,75.178805
-135.73633,200,75.563747
